Id,LotArea,Street,LotShape,HouseStyle,OverallQual,OverallCond,YearBuilt,GarageType,YrSold,SalePrice
1,8450,Pave,Reg,2Story,7,5,2003,Attchd,2008,208500
2,9600,Pave,Reg,1Story,6,8,1976,Attchd,2007,181500
3,11250,Pave,IR1,2Story,7,5,2001,Attchd,2008,223500
4,9550,Pave,IR1,2Story,7,5,1915,Detchd,2006,140000
5,14260,Pave,IR1,2Story,8,5,2000,Attchd,2008,250000
6,14115,Pave,IR1,1.5Fin,5,5,1993,Attchd,2009,143000
7,10084,Pave,Reg,1Story,8,5,2004,Attchd,2007,307000
8,10382,Pave,IR1,2Story,7,6,1973,Attchd,2009,200000
9,6120,Pave,Reg,1.5Fin,7,5,1931,Detchd,2008,129900
10,7420,Pave,Reg,1.5Unf,5,6,1939,Attchd,2008,118000
11,11200,Pave,Reg,1Story,5,5,1965,Detchd,2008,129500
12,11924,Pave,IR1,2Story,9,5,2005,BuiltIn,2006,345000
13,12968,Pave,IR2,1Story,5,6,1962,Detchd,2008,144000
14,10652,Pave,IR1,1Story,7,5,2006,Attchd,2007,279500
15,10920,Pave,IR1,1Story,6,5,1960,Attchd,2008,157000
16,6120,Pave,Reg,1.5Unf,7,8,1929,Detchd,2007,132000
17,11241,Pave,IR1,1Story,6,7,1970,Attchd,2010,149000
18,10791,Pave,Reg,1Story,4,5,1967,CarPort,2006,90000
19,13695,Pave,Reg,1Story,5,5,2004,Detchd,2008,159000
20,7560,Pave,Reg,1Story,5,6,1958,Attchd,2009,139000
21,14215,Pave,IR1,2Story,8,5,2005,BuiltIn,2006,325300
22,7449,Pave,Reg,1.5Unf,7,7,1930,Attchd,2007,139400
23,9742,Pave,Reg,1Story,8,5,2002,Attchd,2008,230000
24,4224,Pave,Reg,1Story,5,7,1976,Attchd,2007,129900
25,8246,Pave,IR1,1Story,5,8,1968,Attchd,2010,154000
26,14230,Pave,Reg,1Story,8,5,2007,Attchd,2009,256300
27,7200,Pave,Reg,1Story,5,7,1951,Detchd,2010,134800
28,11478,Pave,Reg,1Story,8,5,2007,Attchd,2010,306000
29,16321,Pave,IR1,1Story,5,6,1957,Attchd,2006,207500
30,6324,Pave,IR1,1Story,4,6,1927,Detchd,2008,68500
31,8500,Pave,Reg,2Story,4,4,1920,Detchd,2008,40000
32,8544,Pave,IR1,1Story,5,6,1966,Attchd,2008,149350
33,11049,Pave,Reg,1Story,8,5,2007,Attchd,2008,179900
34,10552,Pave,IR1,1Story,5,5,1959,Attchd,2010,165500
35,7313,Pave,Reg,1Story,9,5,2005,Attchd,2007,277500
36,13418,Pave,Reg,2Story,8,5,2004,BuiltIn,2006,309000
37,10859,Pave,Reg,1Story,5,5,1994,Attchd,2009,145000
38,8532,Pave,Reg,1Story,5,6,1954,Attchd,2009,153000
39,7922,Pave,Reg,1Story,5,7,1953,Detchd,2010,109000
40,6040,Pave,Reg,1Story,4,5,1955,NA,2008,82000
41,8658,Pave,Reg,1Story,6,5,1965,Attchd,2006,160000
42,16905,Pave,Reg,1Story,5,6,1959,Attchd,2007,170000
43,9180,Pave,IR1,SFoyer,5,7,1983,Attchd,2007,144000
44,9200,Pave,IR1,1Story,5,6,1975,Detchd,2008,130250
45,7945,Pave,Reg,1Story,5,6,1959,Attchd,2006,141000
46,7658,Pave,Reg,1Story,9,5,2005,Attchd,2010,319900
47,12822,Pave,IR1,1.5Fin,7,5,2003,Attchd,2009,239686
48,11096,Pave,Reg,1Story,8,5,2006,Attchd,2007,249700
49,4456,Pave,Reg,2Story,4,5,1920,NA,2009,113000
50,7742,Pave,Reg,1Story,5,7,1966,Attchd,2007,127000
51,13869,Pave,IR2,2Story,6,6,1997,Attchd,2007,177000
52,6240,Pave,Reg,1.5Fin,6,6,1934,Detchd,2006,114500
53,8472,Grvl,IR2,1Story,5,5,1963,CarPort,2010,110000
54,50271,Pave,IR1,1Story,9,5,1981,Attchd,2006,385000
55,7134,Pave,Reg,SLvl,5,5,1955,Detchd,2007,130000
56,10175,Pave,IR1,1Story,6,5,1964,Attchd,2008,180500
57,2645,Pave,Reg,2Story,8,5,1999,Attchd,2009,172500
58,11645,Pave,IR1,2Story,7,5,2004,Attchd,2006,196500
59,13682,Pave,IR2,2Story,10,5,2006,BuiltIn,2006,438780
60,7200,Pave,Reg,1Story,5,7,1972,Detchd,2008,124900
61,13072,Pave,Reg,1Story,6,5,2004,Detchd,2006,158000
62,7200,Pave,Reg,2.5Unf,5,7,1920,Detchd,2007,101000
63,6442,Pave,IR1,1Story,8,5,2006,Attchd,2007,202500
64,10300,Pave,IR1,2Story,7,6,1921,Detchd,2010,140000
65,9375,Pave,Reg,2Story,7,5,1997,Attchd,2009,219500
66,9591,Pave,Reg,2Story,8,5,2004,BuiltIn,2007,317000
67,19900,Pave,Reg,1Story,7,5,1970,Attchd,2010,180000
68,10665,Pave,IR1,1Story,7,5,2003,Attchd,2007,226000
69,4608,Pave,Reg,1Story,4,6,1945,Attchd,2010,80000
70,15593,Pave,Reg,1.5Fin,7,4,1953,Attchd,2006,225000
71,13651,Pave,IR1,1Story,7,6,1973,Attchd,2007,244000
72,7599,Pave,Reg,1Story,4,6,1982,Detchd,2007,129500
73,10141,Pave,IR1,2Story,7,5,1998,Attchd,2009,185000
74,10200,Pave,Reg,1Story,5,7,1954,Attchd,2010,144900
75,5790,Pave,Reg,2Story,3,6,1915,Detchd,2010,107400
76,1596,Pave,Reg,SLvl,4,5,1973,BuiltIn,2009,91000
77,8475,Pave,IR1,1Story,4,7,1956,Detchd,2008,135750
78,8635,Pave,Reg,1.5Fin,5,5,1948,Detchd,2008,127000
79,10778,Pave,Reg,1Story,4,5,1968,NA,2010,136500
80,10440,Pave,Reg,2Story,5,6,1910,Detchd,2009,110000
81,13000,Pave,Reg,2Story,6,6,1968,Attchd,2009,193500
82,4500,Pave,Reg,1Story,6,5,1998,Attchd,2006,153500
83,10206,Pave,Reg,1Story,8,5,2007,Attchd,2008,245000
84,8892,Pave,IR1,1Story,5,5,1960,Detchd,2007,126500
85,8530,Pave,IR1,SLvl,7,5,1995,BuiltIn,2009,168500
86,16059,Pave,Reg,2Story,8,5,1991,Attchd,2006,260000
87,11911,Pave,IR2,2Story,6,5,2005,BuiltIn,2009,174000
88,3951,Pave,Reg,2Story,6,5,2009,Detchd,2009,164500
89,8470,Pave,IR1,1.5Fin,3,2,1915,NA,2009,85000
90,8070,Pave,Reg,1Story,4,5,1994,NA,2007,123600
91,7200,Pave,Reg,1Story,4,5,1950,Detchd,2006,109900
92,8500,Pave,Reg,1Story,5,3,1961,Attchd,2006,98600
93,13360,Pave,IR1,1Story,5,7,1921,Detchd,2009,163500
94,7200,Pave,Reg,2.5Unf,6,6,1910,Detchd,2007,133900
95,9337,Pave,IR1,2Story,6,5,1997,Attchd,2007,204750
96,9765,Pave,IR2,2Story,6,8,1993,BuiltIn,2009,185000
97,10264,Pave,IR1,1Story,7,5,1999,Attchd,2006,214000
98,10921,Pave,Reg,1Story,4,5,1965,Attchd,2007,94750
99,10625,Pave,Reg,1Story,5,5,1920,Basment,2010,83000
100,9320,Pave,IR1,1Story,4,5,1959,NA,2010,128950
101,10603,Pave,IR1,1Story,6,7,1977,Attchd,2010,205000
102,9206,Pave,Reg,2Story,6,5,1985,Attchd,2010,178000
103,7018,Pave,Reg,1Story,5,5,1979,Attchd,2009,118964
104,10402,Pave,IR1,1Story,7,5,2009,Attchd,2010,198900
105,7758,Pave,Reg,1.5Fin,7,4,1931,Detchd,2007,169500
106,9375,Pave,Reg,2Story,8,5,2003,Attchd,2008,250000
107,10800,Pave,Reg,1Story,4,7,1885,Detchd,2007,100000
108,6000,Pave,Reg,1Story,5,5,1948,Detchd,2008,115000
109,8500,Pave,Reg,1.5Fin,5,7,1919,NA,2007,115000
110,11751,Pave,IR1,1Story,6,6,1977,Attchd,2010,190000
111,9525,Pave,Reg,1.5Fin,6,4,1954,Attchd,2006,136900
112,7750,Pave,IR1,SLvl,7,5,2000,BuiltIn,2010,180000
113,9965,Pave,Reg,2Story,7,5,2007,BuiltIn,2007,383970
114,21000,Pave,Reg,1Story,6,5,1953,Basment,2007,217000
115,7259,Pave,IR1,2Story,6,8,1945,Detchd,2007,259500
116,3230,Pave,Reg,2Story,6,5,1999,Detchd,2007,176000
117,11616,Pave,Reg,1Story,5,5,1962,Attchd,2009,139000
118,8536,Pave,Reg,1Story,5,5,2006,Attchd,2007,155000
119,12376,Pave,Reg,2Story,7,5,1990,Attchd,2010,320000
120,8461,Pave,Reg,2Story,6,5,2005,Attchd,2006,163990
121,21453,Pave,IR1,SLvl,6,5,1969,Attchd,2006,180000
122,6060,Pave,Reg,1.5Fin,4,5,1939,Detchd,2007,100000
123,9464,Pave,Reg,1Story,6,7,1958,Attchd,2008,136000
124,7892,Pave,Reg,1Story,6,5,1993,Attchd,2008,153900
125,17043,Pave,IR1,1Story,6,5,1979,Attchd,2009,181000
126,6780,Pave,Reg,1.5Fin,6,8,1935,NA,2006,84500
127,4928,Pave,IR1,1Story,6,5,1976,Attchd,2007,128000
128,4388,Pave,IR1,1.5Unf,5,7,1930,NA,2007,87000
129,7590,Pave,Reg,2Story,6,5,1966,Attchd,2006,155000
130,8973,Pave,Reg,1Story,5,7,1958,2Types,2006,150000
131,14200,Pave,Reg,2Story,7,6,1966,Attchd,2006,226000
132,12224,Pave,IR1,2Story,6,5,2000,BuiltIn,2009,244000
133,7388,Pave,Reg,1Story,5,6,1959,Detchd,2007,150750
134,6853,Pave,IR1,1Story,8,5,2001,Attchd,2009,220000
135,10335,Pave,IR1,1Story,5,6,1968,Attchd,2006,180000
136,10400,Pave,Reg,1Story,7,6,1970,Attchd,2008,174000
137,10355,Pave,IR1,1Story,5,5,1967,Attchd,2007,143000
138,11070,Pave,Reg,1Story,7,5,1988,2Types,2006,171000
139,9066,Pave,IR1,2Story,8,5,1999,Attchd,2008,230000
140,15426,Pave,IR1,2Story,6,5,1997,Attchd,2009,231500
141,10500,Pave,Reg,1Story,4,5,1971,NA,2010,115000
142,11645,Pave,Reg,1Story,7,5,2005,Attchd,2006,260000
143,8520,Pave,Reg,1.5Fin,5,4,1952,Detchd,2010,166000
144,10335,Pave,IR1,1Story,7,5,1999,Attchd,2009,204000
145,9100,Pave,Reg,1Story,5,5,1963,Detchd,2006,125000
146,2522,Pave,Reg,2Story,6,5,2004,Detchd,2006,130000
147,6120,Pave,Reg,1Story,5,7,1931,Detchd,2009,105000
148,9505,Pave,IR1,2Story,7,5,2001,BuiltIn,2010,222500
149,7500,Pave,Reg,1Story,7,5,2004,NA,2008,141000
150,6240,Pave,Reg,1.5Fin,5,4,1936,Detchd,2006,115000
151,10356,Pave,Reg,1Story,5,6,1975,Attchd,2007,122000
152,13891,Pave,Reg,1Story,8,5,2007,Attchd,2008,372402
153,14803,Pave,IR1,2Story,6,5,1971,Attchd,2006,190000
154,13500,Pave,Reg,1Story,6,7,1960,Attchd,2008,235000
155,11340,Pave,Reg,1Story,6,5,1923,Detchd,2006,125000
156,9600,Pave,Reg,1.5Fin,6,5,1924,NA,2008,79000
157,7200,Pave,Reg,1Story,5,7,1950,Detchd,2006,109500
158,12003,Pave,Reg,2Story,8,5,2009,BuiltIn,2010,269500
159,12552,Pave,Reg,2Story,7,5,2004,Attchd,2010,254900
160,19378,Pave,IR1,2Story,7,5,2005,Attchd,2006,320000
161,11120,Pave,IR1,1Story,6,6,1984,Attchd,2008,162500
